filename; lemma; threat; res; time
lake-edhoc.spthy;  --lemma=authRI_unique;  -D=LeakShare -D=WeakestSignature -D=LeakSessionKey -D=XorPrecise -D=WeakAEAD; ; 1837;
lake-edhoc.spthy;  --lemma=secretR;  -D=LeakShare -D=WeakestSignature -D=LeakSessionKey -D=XorPrecise -D=WeakAEAD; ; 1838;
lake-edhoc.spthy;  --lemma=secretI;  -D=LeakShare -D=WeakestSignature -D=LeakSessionKey -D=XorPrecise -D=WeakAEAD; ; 1844;
lake-edhoc.spthy;  --lemma=authIR_unique;  -D=CredCheck; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x2,gy2))@j ==> i = j is false. ; 53;
lake-edhoc.spthy;  --lemma=authIR_unique;  -D=WeakAEAD; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x2,gy2))@j ==> i = j is false. ; 53;
lake-edhoc.spthy;  --lemma=honestauthRI_non_inj;  -D=WeakAEAD; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) is true. ; 55;
lake-edhoc.spthy;  --lemma=no_reflection_attacks_RI;  -D=NeutralCheck; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is false. ; 55;
lake-edhoc.spthy;  --lemma=honestauthRI_non_inj;  -D=NeutralCheck; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) is true. ; 55;
lake-edhoc.spthy;  --lemma=honestauthRI_non_inj;  -D=CredCheck; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) is true. ; 55;
lake-edhoc.spthy;  --lemma=honestauthRI_non_inj; ; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) is true. ; 56;
lake-edhoc.spthy;  --lemma=no_reflection_attacks_RI; ; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is false. ; 55;
lake-edhoc.spthy;  --lemma=no_reflection_attacks_RI;  -D=CredCheck; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is true. ; 56;
lake-edhoc.spthy;  --lemma=no_reflection_attacks_RI;  -D=NeutralCheck -D=WeakestSignature; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is false. ; 63;
lake-edhoc.spthy;  --lemma=honestauthRI_non_inj;  -D=NeutralCheck -D=WeakestSignature; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) is true. ; 65;
lake-edhoc.spthy;  --lemma=authIR_unique;  -D=NeutralCheck -D=WeakestSignature -D=LeakSessionKey; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x2,gy2))@j ==> i = j is true. ; 95;
lake-edhoc.spthy;  --lemma=authIR_unique;  -D=XorPrecise; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x2,gy2))@j ==> i = j is false. ; 99;
lake-edhoc.spthy;  --lemma=no_reflection_attacks_RI;  -D=NeutralCheck -D=WeakestSignature -D=LeakSessionKey; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is false. ; 99;
lake-edhoc.spthy;  --lemma=honestauthRI_non_inj;  -D=NeutralCheck -D=WeakestSignature -D=LeakSessionKey; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) is true. ; 101;
lake-edhoc.spthy;  --lemma=honestauthRI_non_inj;  -D=XorPrecise; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) is true. ; 108;
lake-edhoc.spthy;  --lemma=authIR_unique;  -D=LeakShare -D=WeakestSignature -D=LeakSessionKey; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x2,gy2))@j ==> i = j is false. ; 798;
lake-edhoc.spthy;  --lemma=no_reflection_attacks_RI;  -D=LeakShare -D=WeakestSignature -D=LeakSessionKey; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is false. ; 882;
lake-edhoc.spthy;  --lemma=honestauthRI_non_inj;  -D=LeakShare -D=WeakestSignature -D=LeakSessionKey; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) is false. ; 882;
lake-edhoc.spthy;  --lemma=authIR_unique;  -D=LeakShare -D=WeakestSignature -D=LeakSessionKey -D=XorPrecise -D=WeakAEAD; ; 1844;
lake-edhoc.spthy;  --lemma=honestauthRI_non_inj;  -D=LeakShare -D=WeakestSignature -D=LeakSessionKey -D=XorPrecise -D=WeakAEAD; ; 1847;
lake-edhoc.spthy;  --lemma=data_authentication_I_to_R;  -D=WeakAEAD; RESULT event(AcceptIData(PRK_4x3m_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_5,m3)))))))))))@i && event(Honest(pkR_8))@j ==> (i > l && event(SendRData(method_2,pkR_8,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_8))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 55;
lake-edhoc.spthy;  --lemma=data_authentication_I_to_R;  -D=NeutralCheck; RESULT event(AcceptIData(PRK_4x3m_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_5,m3)))))))))))@i && event(Honest(pkR_8))@j ==> (i > l && event(SendRData(method_2,pkR_8,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_8))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 55;
lake-edhoc.spthy;  --lemma=data_authentication_I_to_R; ; RESULT event(AcceptIData(PRK_4x3m_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_5,m3)))))))))))@i && event(Honest(pkR_8))@j ==> (i > l && event(SendRData(method_2,pkR_8,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_8))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 55;
lake-edhoc.spthy;  --lemma=data_authentication_I_to_R;  -D=CredCheck; RESULT event(AcceptIData(PRK_4x3m_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_5,m3)))))))))))@i && event(Honest(pkR_8))@j ==> (i > l && event(SendRData(method_2,pkR_8,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_8))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 56;
lake-edhoc.spthy;  --lemma=no_reflection_attacks_RI;  -D=WeakAEAD; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is false. ; 58;
lake-edhoc.spthy;  --lemma=data_authentication_R_to_I;  -D=NeutralCheck; RESULT event(AcceptRData(PRK_4x3m_8,method_2,pkI_8,pkR_8,y,gx,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_5,m3)))))))))))@i && event(Honest(pkI_8))@j ==> (i > l && event(AcceptIData(PRK_4x3m_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m11,(m22,m33)))))))))))@l) || (i > l && event(Compromise(pkI_8))@l) || (event(LeakShare(y))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 60;
lake-edhoc.spthy;  --lemma=data_authentication_R_to_I; ; RESULT event(AcceptRData(PRK_4x3m_8,method_2,pkI_8,pkR_8,y,gx,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_5,m3)))))))))))@i && event(Honest(pkI_8))@j ==> (i > l && event(AcceptIData(PRK_4x3m_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m11,(m22,m33)))))))))))@l) || (i > l && event(Compromise(pkI_8))@l) || (event(LeakShare(y))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 61;
lake-edhoc.spthy;  --lemma=data_authentication_I_to_R;  -D=NeutralCheck -D=WeakestSignature; RESULT event(AcceptIData(PRK_4x3m_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_3,(m2_6,m3)))))))))))@i && event(Honest(pkR_8))@j ==> (i > l && event(SendRData(method_2,pkR_8,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_8))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 61;
lake-edhoc.spthy;  --lemma=data_authentication_R_to_I;  -D=CredCheck; RESULT event(AcceptRData(PRK_4x3m_8,method_2,pkI_8,pkR_8,y,gx,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_5,m3)))))))))))@i && event(Honest(pkI_8))@j ==> (i > l && event(AcceptIData(PRK_4x3m_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m11,(m22,m33)))))))))))@l) || (i > l && event(Compromise(pkI_8))@l) || (event(LeakShare(y))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 62;
lake-edhoc.spthy;  --lemma=data_authentication_R_to_I;  -D=WeakAEAD; RESULT event(AcceptRData(PRK_4x3m_8,method_2,pkI_8,pkR_8,y,gx,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_5,m3)))))))))))@i && event(Honest(pkI_8))@j ==> (i > l && event(AcceptIData(PRK_4x3m_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m11,(m22,m33)))))))))))@l) || (i > l && event(Compromise(pkI_8))@l) || (event(LeakShare(y))@l && (method_2 = method_two || method_2 = method_three)) is false. ; 65;
lake-edhoc.spthy;  --lemma=data_authentication_I_to_R;  -D=XorPrecise; RESULT event(AcceptIData(PRK_4x3m_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_5,m3)))))))))))@i && event(Honest(pkR_8))@j ==> (i > l && event(SendRData(method_2,pkR_8,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_8))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 73;
lake-edhoc.spthy;  --lemma=data_authentication_R_to_I;  -D=NeutralCheck -D=WeakestSignature; RESULT event(AcceptRData(PRK_4x3m_8,method_2,pkI_8,pkR_8,y,gx,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_3,(m2_6,m3)))))))))))@i && event(Honest(pkI_8))@j ==> (i > l && event(AcceptIData(PRK_4x3m_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m11,(m22,m33)))))))))))@l) || (i > l && event(Compromise(pkI_8))@l) || (event(LeakShare(y))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 77;
lake-edhoc.spthy;  --lemma=data_authentication_I_to_R;  -D=NeutralCheck -D=WeakestSignature -D=LeakSessionKey; RESULT event(AcceptIData(PRK_4x3m_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_3,(m2_6,m3)))))))))))@i && event(Honest(pkR_8))@j ==> (i > l && event(SendRData(method_2,pkR_8,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_8))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 79;
lake-edhoc.spthy;  --lemma=no_reflection_attacks_RI;  -D=XorPrecise; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is false. ; 104;
lake-edhoc.spthy;  --lemma=data_authentication_R_to_I;  -D=XorPrecise; RESULT event(AcceptRData(PRK_4x3m_8,method_2,pkI_8,pkR_8,y,gx,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_5,m3)))))))))))@i && event(Honest(pkI_8))@j ==> (i > l && event(AcceptIData(PRK_4x3m_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m11,(m22,m33)))))))))))@l) || (i > l && event(Compromise(pkI_8))@l) || (event(LeakShare(y))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 154;
lake-edhoc.spthy;  --lemma=data_authentication_R_to_I;  -D=NeutralCheck -D=WeakestSignature -D=LeakSessionKey; RESULT event(AcceptRData(PRK_4x3m_8,method_2,pkI_8,pkR_8,y,gx,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_3,(m2_6,m3)))))))))))@i && event(Honest(pkI_8))@j ==> (i > l && event(AcceptIData(PRK_4x3m_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m11,(m22,m33)))))))))))@l) || (i > l && event(Compromise(pkI_8))@l) || (event(LeakShare(y))@l && (method_2 = method_two || method_2 = method_three)) is false. ; 161;
